"","iter","ll_total","objective","sigma","alpha","tau","converge","settings","gene_name","regime","model","param.count","dataset","ntips","AIC","AICc","delta_AIC","delta_AICc","AIC_weight","AICc_weight","truth","AICc_next_worse","AIC_next_worse"
"54",6,-427.004739396025,-407.830707103699,2.69681898006137,0.874586472573521,0.266392350572044,"converged","OU1_30_OUM","OU1_30","OUM","OUM",6,"SCOUT_PPUPWTtS",256,866.009478792051,866.346828189641,0,0,0.738437748385415,0.720888084173232,"OU1",1.89774213758176,2.07572898537137
"55",9,285.669306085512,303.291160063743,0.01,0.994383515427811,0.05,"converged","OU1_4_OU1","OU1_4","OU1","OU1",4,"SCOUT_PPUPWTtS",256,-563.338612171023,-563.179249621223,0,0,0.817061912594179,0.829990582375147,"OU1",3.17112104176238,2.99313419397276
"56",7,-454.83253869024,-435.554506105813,3.44317095836382,0.891857163528265,0.286945025863575,"converged","OU1_5_OU1","OU1_5","OU1","OU1",4,"SCOUT_PPUPWTtS",256,917.665077380479,917.82443993028,0,0,0.510269023109237,0.532473050348431,"OU1",0.26015058649557,0.0821637387059582
"57",11,-74.1279920568858,-55.5455758797197,0.177272285929503,0.870997869033826,0.0500005986761479,"converged","OU1_6_OU1","OU1_6","OU1","OU1",4,"SCOUT_PPUPWTtS",256,156.255984113772,156.415346663572,0,0,0.801184219370999,0.812925893747176,"OU1",3.18989515582356,3.01190830803398
"58",6,-443.388909318151,-423.84757908914,3.29081659061509,0.948132537062018,0.275534834054803,"converged","OU1_7_OU1","OU1_7","OU1","OU1",4,"SCOUT_PPUPWTtS",256,894.777818636302,894.937181186103,0,0,0.771477604638327,0.786787159929228,"OU1",1.02421344011884,1.02421344011884
"59",7,-115.915903627472,-96.7361930949353,0.244238261221988,0.896560460539894,0.0710965091039681,"converged","OU1_8_OU1","OU1_8","OU1","OU1",4,"SCOUT_PPUPWTtS",256,239.831807254944,239.991169804745,0,0,0.715583814703285,0.73334362708716,"OU1",2.00534623331365,1.84532025389262
"60",6,-507.709593999665,-488.448228294751,5.12018348521345,0.885090305488103,0.36192390412234,"converged","OU1_9_OU1","OU1_9","OU1","OU1",4,"SCOUT_PPUPWTtS",256,1023.41918799933,1023.57855054913,0,0,0.798785261887597,0.812709507401412,"OU1",0.0551175801497266,1.93494313772248
"61",6,-227.754244609608,-208.651337828273,0.572704100214463,0.880453016727441,0.121065718600758,"converged","OUM_1_OUM","OUM_1","OUM","OUM",6,"SCOUT_PPUPWTtS",256,467.508489219215,467.845838616805,0,0,0.999947059074331,0.999942131963912,"OUM",0.307518789009691,0.307518789009691
"62",7,-239.388520812867,-219.862351680566,0.642150230378394,0.948661445651426,0.150117864890697,"converged","OUM_10_OUM","OUM_10","OUM","OUM",6,"SCOUT_PPUPWTtS",256,490.777041625733,491.114391023324,0,0,1,1,"OUM",2.71168014959767,2.95379145194994
"63",19,-4.05480473039654,13.3902131873685,0.0981589139745637,0.980288342239979,0.0870118198081328,"converged","OUM_11_OUM","OUM_11","OUM","OUM",6,"SCOUT_PPUPWTtS",256,20.1096094607931,20.4469588583834,0,0,1,1,"OUM",41.2290585134098,41.4070453611994
"64",27,28.1484583695909,44.3583284567693,0.0882938658977525,1.03943490901561,0.0507705914862895,"converged","OUM_12_OUM","OUM_12","OUM","OUM",6,"SCOUT_PPUPWTtS",256,-44.2969167391818,-43.9595673415915,0,0,1,1,"OUM",54.1803066887151,54.1803066887151
"65",8,-135.446547490371,-116.386536662402,0.288738379892118,0.90997933726812,0.0797811147655757,"converged","OUM_13_OUM","OUM_13","OUM","OUM",6,"SCOUT_PPUPWTtS",256,282.893094980742,283.230444378333,0,0,0.999999952164373,0.999999947712137,"OUM",5.29692599320623,5.47491284099578
"66",7,-428.616781902477,-409.421312091393,2.71167831080278,0.877142034584127,0.284473573902403,"converged","OUM_14_OUM","OUM_14","OUM","OUM",6,"SCOUT_PPUPWTtS",256,869.233563804955,869.570913202545,0,0,0.999998298900646,0.999998140573723,"OUM",7.25980774331686,7.25980774331686
